Client,Round,Computation_Time,Quality_Factor,Data_Distribution,Reliability_Score,DUM,SUM,HQS,SRS
client_1,1,0.7608239650726318,0.4745999872684479,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,0,0
client_2,1,0.7145261764526367,0.44589999318122864,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,0,1
client_3,1,1.0178978443145752,0.6983000040054321,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,1,1
client_4,1,0.5169851779937744,0.5792999863624573,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,0,1
client_5,1,2.5437088012695312,0.7156999707221985,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,1,1
client_6,1,0.7378225326538086,0.6312999725341797,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,0,1
client_7,1,0.7832210063934326,0.6406000256538391,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,0,1
client_8,1,0.8286640644073486,0.6801000237464905,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,1,0.693345308303833,0.6140000224113464,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,0,1
client_10,1,0.6822090148925781,0.6111000180244446,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,0,1
client_11,1,0.6806252002716064,0.6230000257492065,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,0,1
client_12,1,0.7587640285491943,0.6223999857902527,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,0,1
client_13,1,0.8196334838867188,0.6129000186920166,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,0,1
client_14,1,0.6744706630706787,0.644599974155426,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,0,1
client_15,1,0.6662988662719727,0.613099992275238,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,0,1
client_16,1,0.6622118949890137,0.6848000288009644,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,1,1
client_17,1,0.7538955211639404,0.6525999903678894,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,0,1
client_18,1,0.7048153877258301,0.64410001039505,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,0,1
client_19,1,0.8508939743041992,0.651199996471405,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,0,1
client_20,1,0.7296559810638428,0.5946999788284302,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7249899983406067,1,1,0,1
client_1,2,0.5621953010559082,0.6211000084877014,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,0,0
client_2,2,0.5346660614013672,0.6668999791145325,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,0,1
client_3,2,0.8681445121765137,0.7627999782562256,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,1,1
client_4,2,0.4818534851074219,0.6830000281333923,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,1,1
client_5,2,2.436030149459839,0.6888999938964844,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,1,1
client_6,2,0.761014461517334,0.6697999835014343,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,0,1
client_7,2,0.7225329875946045,0.666100025177002,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,0,1
client_8,2,0.6915819644927979,0.7336000204086304,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,2,0.6711788177490234,0.6564000248908997,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,0,1
client_10,2,0.6753232479095459,0.7414000034332275,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,2,0.6822240352630615,0.6798999905586243,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,2,0.6823577880859375,0.7124000191688538,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,2,0.737072229385376,0.675000011920929,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,0,1
client_14,2,0.7943274974822998,0.7168999910354614,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,1,1
client_15,2,0.8663341999053955,0.6899999976158142,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,1,1
client_16,2,0.6384627819061279,0.6154999732971191,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,0,1
client_17,2,0.7306361198425293,0.7310000061988831,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,1,1
client_18,2,0.8540141582489014,0.7293999791145325,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,1,1
client_19,2,0.7286741733551025,0.6840999722480774,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,1,1
client_20,2,0.6949350833892822,0.7127000093460083,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7249899983406067,1,1,1,1
client_1,3,0.6398520469665527,0.6901000142097473,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,1,0
client_2,3,0.6093227863311768,0.7146999835968018,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,1,1
client_3,3,0.9628326892852783,0.7319999933242798,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,1,1
client_4,3,0.5357518196105957,0.707099974155426,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,1,1
client_5,3,2.684680938720703,0.7638000249862671,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,1,1
client_6,3,0.6793723106384277,0.6581000089645386,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,0,1
client_7,3,0.6752505302429199,0.6341000199317932,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,0,1
client_8,3,0.685006856918335,0.7412999868392944,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,3,0.7115099430084229,0.6970000267028809,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,1,1
client_10,3,0.761737585067749,0.7028999924659729,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,3,0.8360557556152344,0.7608000040054321,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,3,0.8280751705169678,0.6863999962806702,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,3,0.7868013381958008,0.6861000061035156,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,1,1
client_14,3,0.7689423561096191,0.7369999885559082,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,1,1
client_15,3,0.7636864185333252,0.6898000240325928,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,1,1
client_16,3,0.7652091979980469,0.7271999716758728,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,1,1
client_17,3,0.7789666652679443,0.6786999702453613,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,0,1
client_18,3,0.7313947677612305,0.6608999967575073,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,0,1
client_19,3,0.6792597770690918,0.7246999740600586,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,1,1
client_20,3,0.648322582244873,0.7538999915122986,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7249899983406067,1,1,1,1
client_1,4,0.5288698673248291,0.7089999914169312,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,1,0
client_2,4,0.5139491558074951,0.6786999702453613,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,0,1
client_3,4,0.8388772010803223,0.7554000020027161,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,1,1
client_4,4,0.4575502872467041,0.771399974822998,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,1,1
client_5,4,2.277404308319092,0.757099986076355,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,1,1
client_6,4,0.6520755290985107,0.7559999823570251,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,1,1
client_7,4,0.6515018939971924,0.7109000086784363,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,1,1
client_8,4,0.6811797618865967,0.755299985408783,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,4,0.6702439785003662,0.7283999919891357,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,1,1
client_10,4,0.646148681640625,0.7757999897003174,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,4,0.6433889865875244,0.7044000029563904,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,4,0.6650700569152832,0.7493000030517578,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,4,0.8664991855621338,0.7649999856948853,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,1,1
client_14,4,0.6819214820861816,0.7427999973297119,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,1,1
client_15,4,0.6509747505187988,0.71670001745224,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,1,1
client_16,4,0.6633055210113525,0.704200029373169,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,1,1
client_17,4,0.6520402431488037,0.75,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,1,1
client_18,4,0.6494522094726562,0.7696999907493591,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,1,1
client_19,4,0.6467771530151367,0.7559999823570251,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,1,1
client_20,4,0.640486478805542,0.725600004196167,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7249899983406067,1,1,1,1
client_1,5,0.5238969326019287,0.7132999897003174,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.6902900010347366,1,1,1,0
client_2,5,0.5409374237060547,0.7447999715805054,"{0: 100, 1: 30, 2: 40, 3: 200, 4: 10, 5: 50, 6: 70, 7: 90, 8: 60, 9: 20}",0.7016599923372269,1,1,1,1
client_3,5,0.8362886905670166,0.7897999882698059,"{0: 150, 1: 150, 2: 150, 3: 150, 4: 150, 5: 150, 6: 150, 7: 150, 8: 150, 9: 150}",0.7634699881076813,1,1,0,1
client_4,5,0.4622623920440674,0.7272999882698059,"{0: 50, 1: 50, 2: 50, 3: 50, 4: 50, 5: 50, 6: 50, 7: 50, 8: 50, 9: 50}",0.7384599983692169,1,1,1,1
client_5,5,2.1550934314727783,0.7838000059127808,"{0: 500, 1: 500, 2: 500, 3: 500, 4: 500, 5: 500, 6: 500, 7: 500, 8: 500, 9: 500}",0.7617899954319001,0,0,0,1
client_6,5,0.6607048511505127,0.7347999811172485,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7279399931430817,1,1,1,1
client_7,5,0.6752438545227051,0.7138000130653381,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7173900067806244,1,1,1,1
client_8,5,0.6755428314208984,0.7760000228881836,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7515300035476684,1,1,1,1
client_9,5,0.661139726638794,0.7768999934196472,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7106000065803528,1,1,1,1
client_10,5,0.6613788604736328,0.7441999912261963,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.746780002117157,1,1,1,1
client_11,5,0.6698706150054932,0.7588000297546387,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7253500103950501,1,1,1,1
client_12,5,0.6678755283355713,0.7146000266075134,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.734060001373291,1,1,1,1
client_13,5,0.6547274589538574,0.7229999899864197,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7231400012969971,1,1,1,1
client_14,5,0.6698811054229736,0.6960999965667725,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7104599952697754,1,1,1,1
client_15,5,0.7089245319366455,0.765999972820282,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7250199973583221,1,1,1,1
client_16,5,0.7080986499786377,0.7414000034332275,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.722189998626709,1,1,1,1
client_17,5,0.7582147121429443,0.7731999754905701,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7362200021743774,1,1,1,1
client_18,5,0.7562994956970215,0.7195000052452087,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7274700045585633,1,1,1,1
client_19,5,0.7447006702423096,0.7074000239372253,"{0: 100, 1: 100, 2: 100, 3: 100, 4: 100, 5: 100, 6: 100, 7: 100, 8: 100, 9: 100}",0.7412099957466125,1,1,1,1
